,actor,url
0,eCrime Services,https://ecrime.ch
6,RANSOMWARE GROUPS MONITORING TOOL,https://www.ransomlook.io/
7,54bb47h,http://54bb47h5qu4k7l4d7v5ix3i6ak6elysn3net4by4ihmvrhu7cvbskoqd.onion/blog
8,0mega (Dark),http://omegalock5zxwbhswbisc42o2q2i54vdulyvtqqbudqousisjgc7j7yd.onion
9,0mega (Deep),https://0mega.cc
10,54bb47h,http://54bb47h.blog
11,54bb47h (Victims page),http://54bb47h5qu4k7l4d7v5ix3i6ak6elysn3net4by4ihmvrhu7cvbskoqd.onion
12,Abrahams Ax (Dark),http://abrahamm32umasogaqojib3ey2w2nwoafffrguq43tsyke4s3fz3w4yd.onion
13,Abrahams Ax (Deep),https://abrahams-ax.se
14,AgainstTheWest,http://giphvoitymatg4cv7bxqh5dz6sn6bfscywoat4qtslztkomf5lavrayd.onion
15,AKO,http://kwvhrdibgmmpkhkidrby4mccwqpds5za6uo2thcw5gz75qncv7rbhyad.onion
16,ALPHV (aka BlackCat 1),http://2cuqgeerjdba2rhdiviezodpu3lc4qz2sjf4qin6f7std2evleqlzjid.onion
17,ALPHV (aka BlackCat 2),http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion
18,ALPHV (collection data leaks),http://vqifktlreqpudvulhbzmc5gocbeawl67uvs2pttswemdorbnhaddohyd.onion
19,ARVIN,http://3kp6j22pz3zkv76yutctosa6djpj4yib2icvdqxucdaxxedumhqicpad.onion
20,ARVIN,http://xxz6hl6wwoa25er62tbjdxda4nxyt5iqziavb73mhda6q6zujsgfoxqd.onion
21,ASTROTEAM,http://anewset3pcya3xvk73hj7yunuamutxxsm5sohkdi32blhmql55tvgqad.onion
22,ATOMSILO,http://mhdehvkomeabau7gsetnsrhkfign4jgnx3wajth5yb5h6kvzbd72wlqd.onion
23,ATOMSILO,http://l5cjga2ksw6rxumu5l4xxn3cmahhi2irkbwg3amx6ajroyfmfgpfllid.onion
24,AVADDON,http://avaddongun7rngel.onion
25,AVOS,http://avosqxh72b5ia23dl5fgwcpndkctuzqvh2iefk5imp3pi5gfhel5klad.onion
26,AVOS (Victims request ID page),http://avos2fuj6olp6x36.onion
27,BABUK (Old),http://wavbeudogz6byhnardd2lkp2jafims3j7tj6k6qnywchn2csngvtffqd.onion
28,BABUK,http://nq4zyac4ukl4tykmidbzgdlvaboqeqsemkp4t35bzvjeve6zm2lqcjid.onion
29,BABYDUCK (Victims request ID page),http://babydovegkmhbontykziyq7qivwzy33mu4ukqefe4mqpiiwd3wibnjqd.onion
30,BIANLIAN,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion
31,BIT/LOLKEK/GLOBEIMPOSTER (Support page),http://mmeeiix2ejdwkmseycljetmpiwebdvgjts75c63camjofn2cjdoulzqd.onion
32,BIT/LOLKEK/GLOBEIMPOSTER (SMTP Server),http://nclen75pwlgebpxpsqhlcnxsmdvpyrr7ogz36ehhatfmkvakeyden6ad.onion
33,BIT/LOLKEK/GLOBEIMPOSTER (Support page),http://obzuqvr5424kkc4unbq2p2i67ny3zngce3tbdr37nicjqesgqcgomfqd.onion
34,BLACKBASTA,http://stniiomyjliimcgkvdszvgen3eaaoz55hreqqx6o77yvmpwt7gklffqd.onion
35,BLACKBASTA (Victims request ID Page),https://aazsbsgya565vlu2c6bzy6yfiebkcbtvvcytvolt33s77xypi7nypxyd.onion
36,BLACKBYTE,http://ce6roic2ykdjunyzazsxmjpz5wsar4pflpoqzntyww5c2eskcp7dq4yd.onion
37,BLACKBYTE (1),http://6iaj3efye3q62xjgfxyegrufhewxew7yt4scxjd45tlfafyja6q4ctqd.onion
38,BLACKBYTE (2),http://f5uzduboq4fa2xkjloprmctk7ve3dm46ff7aniis66cbekakvksxgeqd.onion
39,BLACKBYTE (3),http://dlyo7r3n4qy5fzv4645nddjwarj7wjdd6wzckomcyc7akskkxp4glcad.onion
40,BLACKBYTE (4),http://fl3xpz5bmgzxy4fmebhgsbycgnz24uosp3u4g33oiln627qq3gyw37ad.onion
41,BLACKBYTE (5),http://jbeg2dct2zhku6c2vwnpxtm2psnjo2xnqvvpoiiwr5hxnc6wrp3uhnad.onion
42,BLACKMATTER,http://blackmax7su6mbwtcyo3xwtpfxpm356jjqrs34y4crcytpw7mifuedyd.onion
43,BLACKMATTER Support,http://supp24maprinktc7uizgfyqhisx7lkszb6ogh6lwdzpac23w3mh4tvyd.onion/EWX33VYY3IGOXSG5ZZ2
44,BLACK SHADOW (Deep),https://blackshadow.cc
45,BLACK SHADOW,http://544corkfh5hwhtn4.onion
46,BLUE SKY (Victims request ID Page),http://ccpyeuptrlatb2piua4ukhnhi7lrxgerrcrj4p2b5uhbzqm2xgdjaqid.onion
47,Bl00dy Ransomware,
48,BONACI GROUP,http://bonacifryrxr4siz6ptvokuihdzmjzpveruklxumflz5thmkgauty2qd.onion
49,CHEERS,http://rwiajgajdr4kzlnrj5zwebbukpcbrjhupjmk6gufxv6tg7myx34iocad.onion
50,CHILE LOCKER (Victim request ID Page),http://z6vidveub2ypo3d3x7omsmcxqwxkkmvn5y3paoufyd2tt4bfbkg33kid.onion/login
51,CLOP,http://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad.onion
52,CLOP (Old),http://ekbgzchl6x2ias37.onion
53,CONTI/RYUK (Dark),http://continewsnv5otx5kaoje7krkto2qbu3gtqef22mnr7eaxw3y6ncz3ad.onion
54,CONTI/RYUK (Deep),https://continews.click
55,COOMINGPROJECT (Tor v2),http://teo7aj5mfgzxyeme.onion
56,COOMINGPROJECT (Tor v3),http://z6mikrtphid5fmn52nbcbg25tj57sowlm3oc25g563yvsfmygkcxqbyd.onion
57,COOMINGPROJECT (Deep),http://coomingproject.com
58,CRIMSON WALRUS,http://ncpbxzcgdeprrbba7dgodmymdewy57yokkebuwhmuywiuz5kqjwepbad.onion
59,CRYLOCK (Victims request ID page),http://d57uremugxjrafyg.onion
60,CRYP70N1C0D3,http://7k4yyskpz3rxq5nyokf6ztbpywzbjtdfanweup3skctcxopmt7tq7eid.onion
61,CUBA (Old),http://cuba4mp6ximo2zlo.onion
62,CUBA,http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion
63,DAGON LOCKER (Victims request ID Page),http://dgnh6p5uq234zry7qx7bh73hj5ht3jqisgfet6s7j7uyas5i46xfdkyd.onion
64,DAIXIN,http://7ukmkdtyxdkdivtjad57klqnd3kdsmq6tp45rrsxqnu76zzv3jvitlqd.onion
65,DARK ANGELS,https://wemo2ysyeq6km2nqhcrz63dkdhez3j25yw2nvn7xba2z4h7v7gyrfgid.onion
66,DARKRYPT,https://darkrypt.io
67,DARKSIDE,http://darksidc3iux462n6yunevoag52ntvwp6wulaz3zirkmh4cnz6hhj7id.onion
68,DONUT BLOG,https://sbc2zv2qnz5vubwtx3aobfpkeao6l4igjegm3xx7tk5suqhjkp5jxtqd.onion
69,DONUT DLS,https://doq32rjiuomfghm5a4lyf3lwwakt2774tkv4ppsos6ueo5mhx7662gid.onion
70,DOPPLE PAYMER,http://hpoo4dosa3x4ognfxpqcrjwnsigvslm7kv6hvmhh2yqczaxy3j6qnwad.onion
71,DOTADMIN,http://adminavf4cikzbv6mbbp7ujpwhygnn2t3egiz2pswldj32krrml42wyd.onion
72,ECH0RAIX,http://veqlxhq7ub5qze3qy56zx2cig2e6tzsgxdspkubwbayqije6oatma6id.onion
73,ENDURANCE,http://h44jyyfomcbnnw5dha7zgwgkvpzbzbdyx2onu4fxaa5smxrgbjgq7had.onion/
74,EGREGOR,https://egregornews.com
75,ENTROPY,http://leaksv7sroztl377bbohzl42i3ddlfsxopcb6355zc7olzigedm5agad.onion
76,EP918,http://dg5fyig37abmivryrxlordrczn6d6r5wzcfe2msuo5mbbu2exnu46fid.onion
77,EVEREST,http://ransomocmou6mnbquqz44ewosbkjk3o5qjsl3orawojexfook2j7esad.onion
78,EVILCORP,http://hpoo4dosa3x4ognfxpqcrjwnsigvslm7kv6hvmhh2yqczaxy3j6qnwad.onion
79,EXORCIST,http://7iulpt5i6whht6zo2r52f7vptxtjxs3vfcdxxazllikrtqpupn4epnqd.onion
80,FREE CIVILIAN (Attacks Ukrainian Government Agencies),http://gcbejm2rcjftouqbxuhimj5oroouqcuxb2my4raxqa7efkz5bd5464id.onion
81,FS-TEAM,http://hkk62og3s2tce2gipcdxg3m27z4b62mrmml6ugctzdxs25o26q3a4mid.onion
82,GOODWILL (Dashboard),http://9855-13-235-50-147.ngrok.io
83,GRIEF,http://griefcameifmv4hfr3auozmovz5yi6m3h3dwbuqw7baomfxoxz4qteid.onion
84,GROOVE,http://ws3dh6av66sjbxxkjpw5ao3wqzmtejnkzheswm4dz5rrwvular7xvkqd.onion
85,HADES,http://ixltdyumdlthrtgx.onion
86,HARON,http://ft4zr2jzlqoyob7yg4fcpwyt37hox3ajajqnfkdvbfrkjioyunmqnpad.onion/blog.php
87,HELLO KITTY,http://3r6n77mpe737w4sbxxxrpc5phbluv6xhtdl5ujpnlvmck5tc7blq2rqd.onion
88,HITLER,http://hitleransomware.cf
89,HIVE,http://hiveleakdbtnp76ulyhi52eag6c6tyc3xw7ez7iqy6wc34gd2nekazyd.onion
90,HIVE (Negotiation),http://hivecust6vhekztbqgdnkks64ucehqacge3dij3gyrrpdp57zoq3ooqd.onion
91,HOLYGHOST,http://matmq3z3hiovia3voe2tix2x54sghc3tszj74xgdy4tqtypoycszqzqd.onion
92,HOTARUS,http://r6d636w47ncnaukrpvlhmtdbvbeltc6enfcuuow3jclpmyga7cz374qd.onion
93,ICEFIRE,http://kf6x3mjeqljqxjznaw65jixin7dpcunfxbbakwuitizytcpzn4iy5bad.onion/board/leak_list/
94,INDUSTRIAL SPY,http://spyarea23ttlty6qav3ecmbclpqym3p32lksanoypvrqm6j5onstsjad.onion
95,JUSTICE BLADE,https://justice-blade.io
96,KARAKURT (Deep),https://karakurt.tech
97,KARAKURT (Deep),https://karakurt.co
98,KARAKURT (Deep),https://karanews.live
99,KARAKURT (Deep),https://karaleaks.com
100,KARAKURT 2.0 (IP),https://209.222.98.19
101,KARAKURT (Dark),https://lhxxtrqraokn63f3nubhbjrzxkrgduq3qogp3yr424tkpvh3z7n4kcyd.onion
102,KARAKURT (chat panel),https://omx5iqrdbsoitf3q4xexrqw5r5tfw7vp3vl3li3lfo7saabxazshnead.onion
103,KARAKURT (Dark),https://3f7nxkjway3d223j27lyad7v5cgmyaifesycvmwq7i7cbs23lb6llryd.onion
104,KARMA,http://3nvzqyo6l4wkrzumzu5aod7zbosq4ipgf7ifgj3hsvbcr5vcasordvqd.onion
105,KELVIN SECURITY,https://vipsuscription.org
106,LILITH,http://yeuajcizwytgmrntijhxphs6wn5txp2prs6rpndafbsapek3zd4ubcid.onion
107,LOCKBIT 2.0 (Dark mirror 1),http://lockbitapt2yfbt7lchxejug47kmqvqqxvvjpqkmevv4l3azl3gy6pyd.onion
108,LOCKBIT 2.0 (Dark mirror 2),http://lockbitapt5x4zkjbcqmz6frdhecqqgadevyiwqxukksspnlidyvd7qd.onion
109,LOCKBIT 2.0 (Dark mirror 3),http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion
110,LOCKBIT 2.0 (Dark mirror 4),http://lockbitapt34kvrip6xojylohhxrwsvpzdffgs5z4pbbsywnzsbdguqd.onion
111,LOCKBIT 2.0 (Dark mirror 5),http://lockbitaptc2iq4atewz2ise62q63wfktyrl4qtwuk5qax262kgtzjqd.onion
112,LOCKBIT 2.0 (Dark mirror 6),http://lockbitaptq7ephv2oigdncfhtwhpqgwmqojnxqdyhprxxfpcllqdxad.onion
113,LOCKBIT 2.0 (Dark mirror 7),http://lockbitaptstzf3er2lz6ku3xuifafq2yh5lmiqj5ncur6rtlmkteiqd.onion
114,LOCKBIT 2.0 (Dark mirror 8),http://oyarbnujct53bizjguvolxou3rmuda2vr72osyexngbdkhqebwrzsnad.onion
115,LOCKBIT 2.0 (Dark mirror 9),http://yq43odyrmzqvyezdindg2tokgogf3pn6bcdtvgczpz5a74tdxjbtk2yd.onion
116,LOCKBIT 2.0 (Deep),http://www.lockbitapt.uz
117,LOCKBIT 3.0 (Dark mirror 1),http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion
118,LOCKBIT 3.0 (Dark mirror 2),http://lockbitapt2yfbt7lchxejug47kmqvqqxvvjpqkmevv4l3azl3gy6pyd.onion
119,LOCKBIT 3.0 (Dark mirror 3),http://lockbitapt34kvrip6xojylohhxrwsvpzdffgs5z4pbbsywnzsbdguqd.onion
120,LOCKBIT 3.0 (Dark mirror 4),http://lockbitapt5x4zkjbcqmz6frdhecqqgadevyiwqxukksspnlidyvd7qd.onion
121,LOCKBIT 3.0 (Dark mirror 5),http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion
122,LOCKBIT 3.0 (Dark mirror 6),http://lockbitapt72iw55njgnqpymggskg5yp75ry7rirtdg4m7i42artsbqd.onion
123,LOCKBIT 3.0 (Dark mirror 7),http://lockbitaptawjl6udhpd323uehekiyatj6ftcxmkwe5sezs4fqgpjpid.onion
124,LOCKBIT 3.0 (Dark mirror 8),http://lockbitaptbdiajqtplcrigzgdjprwugkkut63nbvy2d5r4w2agyekqd.onion
125,LOCKBIT 3.0 (Dark mirror 9),http://lockbitaptc2iq4atewz2ise62q63wfktyrl4qtwuk5qax262kgtzjqd.onion
126,"LOCKBIT 3.0 (""Leaked"")",http://lockbit7z2jwcskxpbokpemdxmltipntwlkmidcll2qirbu7ykg46eyd.onion
127,"LOCKBIT 3.0 (""File Share"")",http://lockbitfile2tcudkcqqt2ve6btssyvqwlizbpv5vz337lslmhff2uad.onion
128,"LOCKBIT 3.0 (""Private Note"")",http://lockbitnotexk2vnf2q2zwjefsl3hjsnk4u74vq4chxrqpjclfydk4ad.onion
129,LOCKBIT,http://lockbitkodidilol.onion
130,LOCKFILE (Victims request ID page),http://zqaflhty5hyziovsxgqvj2mrz5e5rs6oqxzb54zolccfnvtn5w2johad.onion
131,LORENZ,http://lorenzmlwpzgxq736jzseuterytjueszsvznuibanxomlpkyxk6ksoyd.onion
132,LV (1),http://rbvuetuneohce3ouxjlbxtimyyxokb4btncxjbo44fbgxqy7tskinwad.onion
133,LV (2),http://4qbxi3i2oqmyzxsjg4fwe4aly3xkped52gq5orp6efpkeskvchqe27id.onion
134,MALLOX,http://wtyafjyhwqrgo4a45wdvvwhen3cx4euie73qvlhkhvlrexljoyuklaad.onion
135,MARKETO (Deep),https://marketo.cloud
136,MARKETO (Tor v2),http://g5sbltooh2okkcb2.onion
137,MARKETO (Tor v3),http://jvdamsif53dqjycuozlaye2s47p7xij4x6hzwzwhzrqmv36gkyzohhqd.onion
138,MARKETO (Tor v3),http://fvki3hj7uxuirxpeop6chgqoczanmebutznt2mkzy6waov6w456vjuid.onion
139,MAZE,https://newsmaze.net
140,MBC,http://xembshruusobgbvxg4tcjs3jpdnks6xrr6nbokfxadcnlc53yxir22ad.onion
141,MEDUSA LOCKER,http://qd7pcafncosqfqu3ha6fcx4h6sr7tzwagzpcdcnytiw3b6varaeqv5yd.onion
142,MEDUSA (Victims Page),http://z6wkgghtoawog5noty5nxulmmt2zs7c3yvwr22v4czbffdoly2kl4uad.onion
143,MONTI,http://mblogci3rudehaagbryjznltdp33ojwzkq6hn2pckvjq33rycmzczpid.onion
144,NO NAME SPECIFIED,http://woqjumaahi662ka26jzxyx7fznbp4kg3bsjar4b52tqkxgm2pylcjlad.onion/
145,MIDAS/HARON,http://midasbkic5eyfox4dhnijkzc7v7e4hpmsb2qgux7diqbpna4up4rtdad.onion/blog.php
146,MINDWARE,http://dfpc7yvle5kxmgg6sbcp5ytggy3oeob676bjgwcwhyr2pwcrmbvoilqd.onion
147,Moses Staff (Deep),http://moses-staff.se
148,Moses Staff (Dark),http://mosesstaffm7hptp.onion
149,MOUNT LOCKER,http://mountnewsokhwilx.onion
