,actor
0,LockBit 3.0
1,Conti
2,Pysa (Mespinoza)
3,REvil Sodinokibi
4,MAZE
5,Alphav (BlackCat)
6,HiveLeaks
7,Egregor
8,DoppelPaymer
9,Avaddon
10,BlackBasta
11,Vice Society
12,NetWalker
13,CL0P
14,Everest
15,LV
16,DarkSide
17,Grief
18,Ragnar Locker
19,BianLian
20,Royal
21,Marketo
22,Cuba
23,Karakurt
24,BlackByte
25,Snatch
26,Dark Leak Market
27,Lorenz
28,Quantum
29,WannaCry
30,RansomEXX
31,Prometheus
32,Ragnarok
33,Suncrypt
34,BABUK LOCKER
35,Nefilim
36,BlackMatter
37,Spook
38,Payload.bin
39,Play News
40,CoomingProject
41,RansomHouse
42,XING LOCKER
43,Avos Locker
44,Medusa Locker
45,Mount Locker
46,Astro Team
47,Sabbath
48,VSOP NEWS
49,SynACK
50,Sparta
51,Mallox
52,AKO
53,LockBit
54,Donut Leaks
55,Qilin
56,Daixin Team
57,Pay2Key
58,Sekhmet
59,Team Snatch
60,Red Alert
61,Relic
62,N3tw0rm
63,Noname
64,Omega Lock
65,Ranzy Locker
66,NEMTY
